Id;ClientId;DateTime;Rating;Comment
1;3;2026-01-01 08:12:14.1234567;5;Absolutely outstanding service, the best car buying experience of my life!
2;7;2026-01-01 10:45:22.2345678;4;Great selection and friendly staff, very happy overall.
3;12;2026-01-02 09:15:33.3456789;3;The process was okay, nothing special but acceptable.
4;5;2026-01-02 14:22:41.4567890;2;Slow paperwork and poor communication, disappointing.
5;9;2026-01-03 11:05:55.5678901;1;This place is a complete scam run by crooks, avoid at all costs!
6;14;2026-01-03 16:18:12.6789012;5;Professional, transparent and incredibly helpful from start to finish!
7;2;2026-01-04 07:55:56.7528317;5;Flawless transaction and an amazing deal, highly recommend!
8;18;2026-01-04 13:44:27.1122334;3;Car was fine, service was average, nothing remarkable.
9;6;2026-01-05 09:32:48.2233445;1;The manager lied straight to my face and I hope this business shuts down.
10;11;2026-01-05 15:21:09.3344556;4;Smooth financing and helpful explanations, good experience.
11;4;2026-01-06 12:11:10.4455667;5;Exceptional team, they treated me like royalty!
12;15;2026-01-06 17:59:59.5566778;2;Car had minor issues they should have disclosed earlier.
13;1;2026-01-07 08:08:08.6677889;1;Worst dealership ever, the staff are incompetent idiots.
14;8;2026-01-07 18:30:44.7788990;5;Could not be happier, everything exceeded my expectations!
15;10;2026-01-08 10:14:21.8899001;3;Decent pricing, but the waiting time was long.
16;13;2026-01-08 14:55:37.9900112;1;They faked service records and should be investigated immediately.
17;16;2026-01-09 09:41:52.1011121;5;Top-tier dealership with unbeatable customer care!
18;19;2026-01-09 16:16:16.2122232;4;Very satisfied, minor delays but overall positive.
19;20;2026-01-10 11:27:38.3233343;3;Neutral experience, car matched the description.
20;3;2026-01-10 19:45:50.4344454;1;I was harassed by a salesperson who kept making inappropriate comments.
21;7;2026-01-11 08:22:13.5455565;5;Five stars all the way, phenomenal support!
22;12;2026-01-11 13:33:24.6566676;2;Pushy sales tactics made me uncomfortable.
23;5;2026-01-12 09:09:09.7677787;1;This dealership discriminates against customers and treats people unfairly.
24;9;2026-01-12 15:48:18.8788898;4;Helpful staff and clear contract terms.
